0,1,2,3,4
,"Bailey, David H.;  Lopez de Prado,  Marcos","The Deflated Sharpe Ratio: Correcting for Selection Bias, Backtest Overfitting and Non-Normality","Journal of Portfolio Management,  40 (5), pp. 94-107. 2014 (40th Anniversary Special Issue).","The Deflated Sharpe Ratio (DSR) corrects for two leading sources of performance inflation: Selection bias under multiple testing and non-Normally distributed returns.  In this interview, Prof. Bailey speaks about our work.  IIJ's Practical Applications (Winter 2015) featured this work. Other authors in this JPM Special Issue include: Cliff Asness (AQR), John Bogle (Vanguard), Mohamed El-Erian (Allianz), Robert Kapito (BlackRock), Mark Kritzman (Windham), Martin Leibowitz (Morgan Stanley), Burton Malkiel (Princeton) and Marc Reinganum (State Street)."
,"Calkin, Neil; Lopez de Prado, Marcos",Stochastic Flow Diagrams,"Algorithmic Finance,  3(1), pp. 21-42. 2014.","We introduce Stochastic Flow Diagrams (SFDs), a new  mathematical approach to represent complex dynamic systems into a single  weighted digraph. This topological representation provides a way to visualize  what otherwise would be a morass of equations in differences."
,"Song, Jung H.; Lopez de Prado,  Marcos; Simon, Horst D.;  Wu, Kesheng",Exploring Irregular Time Series Through the Non-Uniform Fourier Transform,"Proceedings of the International Conference for High Performance Computing, IEEE, 2014.","We explore the frequency domain of irregular time series by applying a Non-Uniform Fast Fourier Transform (NUFFT) on Natural Gas Futures prices. We show that High-Frequency Traders are responsible for a growing number of cyclical patterns. In particular, we observe the emergence of a new power law in the Fourier spectra in recent years."
,"Easley, David;  Lopez de Prado,  Marcos;  O'Hara, Maureen",VPIN and the Flash Crash: A Rejoinder,"Journal of Financial Markets,  17(1), pp. 47-52. 2014.",Discusses implementation cautions with regards to VPIN  empirical studies.
,"Calkin, Neil; Lopez de Prado, Marcos",The Topology of Macro Financial Flows: An Application of  Stochastic Flow Diagrams,"Algorithmic Finance,  3(1), pp. 43-85. 2014.","We construct a network of financial instruments and show  how Stochastic Flow Diagrams (SFDs) allow researchers to monitor the  flow of capital across the financial system. Because our approach is dynamic,  it models how and for how long a financial shock propagates through the  system."
,"Bailey, David H.;  Lopez de Prado,  Marcos",An Open-Source implementation of the  Critical-Line Algorithm for Portfolio Optimization,"Algorithms, 6(1), pp. 169-196. 2013.","We fill a gap in the literature by providing a  well-documented, step-by-step open-source implementation of the Critical-Line  Algorithm (CLA) in a scientific language. We discuss the logic behind CLA  following the algorithm’s decision flow. In addition, we have developed  several utilities that facilitate the answering of recurrent practical  problems."
,"Bailey, David H.;  Lopez de Prado,  Marcos; del Pozo, Eva",The Strategy Approval Decision: A Sharpe Ratio  Indifference Curve Approach,"Algorithmic Finance,  2(1), pp. 99-109. 2013.","The problem of capital allocation to a set  of strategies could be partially avoided, or at least greatly simplified,  with an appropriate strategy approval decision process. This paper proposes  such procedure, by splitting the capital allocation problem into two  sequential stages: Strategy approval and portfolio optimization."
,"Bailey, David H.;  Lopez de Prado,  Marcos",The Sharpe Ratio Efficient Frontier,"Journal of Risk, 15(2), pp. 3-44, Winter. 2012.","Introduced the Probabilistic Sharpe Ratio (PSR),  a new uncertainty-adjusted investment skill metric that corrects the  inflationary effect that Non-Normality has on Sharpe Ratio estimates. It also  determines the Minimum Track Record Length (MinTRL) needed to evidence  skill. A Sharpe Ratio Efficient Frontier (SEF) arises, based on  return-on-risk rather than return-on-capital."
,"Bailey, David H.;  Lopez de Prado,  Marcos",Balanced Baskets: A new approach to Trading and Hedging  Risks,"Journal of Investment Strategies,  1(4), pp. 21-62. Fall, 2012.","Introduced the notion of Balanced  Baskets, which are portfolios of instruments that evenly spread risks or  exposures across their constituents without requiring a change of basis, like  PCA. It also developed the algorithms needed to compute such baskets in  hedging as well as trading applications. Finally, it also contributed a new  procedure for covariance clustering."
,"Easley, David;  Lopez de Prado,  Marcos;  O'Hara, Maureen",The Volume Clock: Insights into the High Frequency  Paradigm,"Journal of Portfolio Management,  39(1), pp. 19-29. Fall, 2012.","This paper has been cited by Market  Regulators [1, 2, 3] for deepening  their understanding of the phenomenon of High Frequency Trading (HFT), beyond  the simple notion of ""speed trading"". In particular, it argues that  at the heart of HFT is a new investment paradigm based on making decisions in  Volume Time. IIJ's Practical Applications (Fall 2013) featured this work."
,"Easley, David;  Lopez de Prado,  Marcos;  O'Hara, Maureen",Flow Toxicity and Liquidity in a High Frequency World,"Review of Financial Studies,  25(5), pp. 1457-1493. 2012.","Developed a new procedure to estimate the flow toxicity  impacting market makers, the Volume Synchronized Probability of Informed  Trading (VPIN). This metric has been shown to  anticipate liquidity crises (including the Flash Crash) and to be a good  predictor of toxicity-induced volatility. CFTC's HFT guidelines  cite this publication."
,"Lopez de Prado,  Marcos;  Leinweber, David",Advances in Cointegration and Subset Correlation Hedging  Methods,"Journal of Investment Strategies,  1(2), pp. 67-115. Spring, 2012.","Introduced two new hedging methods, called  Dickey-Fuller Optimization (DFO) and Mini-Max Subset Correlation (MMSC).  The former is a dynamic, cointegration based method while the latter is a  static, balanced-basket method to evenly distribute exposure among portfolio  constituents. It also generalized the Box-Tiao Canonical Decomposition (BTCD)  method."
,"Easley, David;  Lopez de Prado,  Marcos;  O'Hara, Maureen",The Exchange of Flow Toxicity,"Journal of Trading,  6(2), pp. 8-13. Spring, 2011.","It introduced the concept of ""Market  Makers' Asymmetric Payoff Dilemma"", which characterizes a liquidity  provider as the seller of a real-option to be adversely selected. Since that  option cannot be dynamically replicated, a new contract is proposed to allow  market makers to hedge such risks."
,"Easley, David;  Lopez de Prado,  Marcos;  O'Hara, Maureen","The Microstructure of the ‘Flash Crash’: Flow Toxicity,  Liquidity Crashes and the Probability of Informed Trading","Journal of Portfolio Management,  37(2), pp. 118-128. Winter, 2011.","This has become one of the most read papers  in Finance, according to SSRN. It analyses the ""Flash Crash"" from a  microstructure perspective, and concludes that it was a liquidity crises  which resulted from market makers receiving persistently toxic order flow for  at least 2 hours before the crash actually unfolded."
,"Lopez de Prado,  Marcos;  Peijan, Achim",Measuring Loss Potential of Hedge Fund Strategies,"Journal of Alternative  Investments, 7(1), pp. 7-31. Summer, 2004.","It developed a new risk framework for  assessing hedge funds' loss potential, considering Non-Normal and  Serially-Correlated returns. It shows that the IID Normal assumption,  ubiquitous in financial risk modeling, leads to a great underestimation of  the loss potential of hedge funds."
